0,0,2
0,0,5
0,0,2
0,0,11
0,0,14
0,0,14
0,0,32
0,0,32
0,1,39
0,1,42
0,1,47
0,1,52
0,1,63
0,2,67
0,2,74
0,2,89
1,3,128
1,3,124
15,4,130
25,5,180
25,6,186
25,8,198
39,9,216
39,9,302
42,13,335
42,16,335
42,24,490
42,24,490
56,45,748
56,48,868
79,64,1018
117,72,1135
125,97,1364
188,110,1574
208,127,1761
217,149,1985
229,160,2337
259,178,2687
295,187,2919
300,194,3205
331,201,3323
365,211,3651
507,223,4203
572,232,4669
722,251,5221
789,269,5652
840,283,6430
957,301,6817
1076,323,7628
1188,342,8068
1282,369,8590
1388,400,9318
1593,432,9915
1773,459,10498
1879,485,11506
2000,521,12296
2115,548,12974
2465,583,14541
2819,617,15525
3094,651,16758
3301,694,17974
